,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(2.23606797749979, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
1,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
2,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
3,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
4,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
5,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
6,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
7,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
8,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
9,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
10,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
11,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
12,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
13,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
14,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
15,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
16,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
17,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(2.8284271247461903, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
18,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.4142135623730951, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
19,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
20,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
21,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(4.123105625617661, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
22,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
23,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(9.486832980505138, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
24,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(3.605551275463989, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
25,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(8.06225774829855, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
26,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
27,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
28,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(25.317977802344327, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
29,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
30,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
31,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
32,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(2.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
33,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
34,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
35,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
36,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
37,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
38,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
39,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
40,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.4142135623730951, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
41,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
42,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
43,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
44,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(18.439088914585774, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
45,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(2.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
46,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.4142135623730951, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
